Date, Close/Last, Volume, Open, High, Low
08/07/2019, 2880.6, 115, 2875.3, 2885.7, 2845.4
08/06/2019, 2876, 268, 2812.1, 2877.5, 2776.3
08/05/2019, 2830.1, 224, 2927.8, 2931.2, 2822.8
08/02/2019, 2932.4, 172, 2951.2, 2954.2, 2932.4
08/01/2019, 2951.9, 50, 2970.8, 2987, 2950.5
07/31/2019, 2982.3, 36, 3015.1, 3019.5, 2972.8
07/30/2019, 3012.3, 45, 3026, 3026, 3005
07/29/2019, 3021.8, 13, 3025.1, 3025.2, 3021
07/26/2019, 3024.5, 18, 3008, 3024.5, 3007.6
07/25/2019, 3006.5, 16, 3023.2, 3027.2, 3005
07/24/2019, 3021.6, 10, 3006.5, 3019.5, 2999
07/23/2019, 3008, 15, 2992.5, 3003.1, 2992.5
07/22/2019, 2989, 27, 2974.6, 2987.5, 2974.6
07/19/2019, 2976.9, 51, 3008, 3008, 2972.8
07/18/2019, 2997.6, 32, 2983.8, 3005.3, 2976.6
07/17/2019, 2985, 3, 3008.8, 3011.9, 3008.8
07/16/2019, 3007, 34, 3016.9, 3021.5, 3016.5
07/15/2019, 3017.3, 13, 3012.9, 3022.6, 3012.9
07/12/2019, 3015.4, 12, 3006, 3011.5, 3006
07/11/2019, 3003.9, 18, 2996, 3006, 2996
07/10/2019, 2997.4, 36, 2984, 2994.3, 2976.5
07/09/2019, 2982.1, 28, 2967.8, 2983, 2964.5
07/08/2019, 2978.6, 39, 2993.9, 2993.9, 2979.3
07/05/2019, 2990.4, 70, 3004, 3004, 2985.4
07/03/2019, 3000.3, 5, 3004, 3004, 2999
07/02/2019, 2979.6, 18, 2963.5, 2979.5, 2963.1
07/01/2019, 2967.7, 80, 2957.2, 2980.5, 2957.2
06/28/2019, 2944.2, 26, 2937, 2953.5, 2930.1
06/27/2019, 2930.9, 70, 2916, 2934.9, 2916
06/26/2019, 2917.9, 29, 2925.1, 2937, 2918
06/25/2019, 2922.1, 12, 2952, 2955.8, 2944.6
06/24/2019, 2952.1, 6, 2952, 2956.9, 2952
06/21/2019, 2950.6, 63, 2957.2, 2959.1, 2948
06/20/2019, 2960, 89, 2931.7, 2962, 2931.1
06/19/2019, 2933.4, 44, 2924.9, 2933.5, 2924
06/18/2019, 2926.2, 60, 2891, 2926.7, 2891
06/17/2019, 2896.3, 11, 2897.6, 2904.2, 2897.2
06/14/2019, 2894.8, 15, 2896.7, 2901.2, 2889.5
06/13/2019, 2894.4, 48, 2883.7, 2891.2, 2876.1
06/12/2019, 2881, 26, 2885.7, 2886.8, 2877.1
06/11/2019, 2886.9, 38, 2891.3, 2906, 2885.5
06/10/2019, 2889.2, 51, 2887, 2895.2, 2883.6
06/07/2019, 2874.9, 133, 2839.5, 2876.5, 2839.4
06/06/2019, 2845.7, 74, 2818.7, 2842.3, 2814.2
06/05/2019, 2827.7, 82, 2812.3, 2828.2, 2807.6
06/04/2019, 2804.9, 60, 2754.9, 2768.7, 2744.9
06/03/2019, 2749.6, 157, 2749, 2753.2, 2733
05/31/2019, 2752.6, 143, 2786.4, 2786.4, 2750.8
